epic,task_id,task,priority,depends_on,description,dor,dod,spec_objetivo,spec_escopo,spec_entradas,spec_saidas,spec_interfaces,spec_regras,spec_observabilidade,spec_riscos,spec_testes
Discovery e Arquitetura,1.1,"Definir visão do produto, personas e boundaries",Alta,,"Formalizar visão da IDE, personas, jornadas, métricas de sucesso e limites do MVP/Fase 2.",Stakeholders identificados; objetivo de negócio claro; público-alvo definido; horizonte MVP/Fase 2 definido.,Documento de visão aprovado; personas e jornadas descritas; in-scope/out-of-scope publicado; métricas de sucesso definidas.,Evitar backlog inflado e desalinhamento estratégico.,Personas; jobs to be done; problemas-alvo; diferenciais; exclusões do MVP.,Entrevistas com equipe; stack atual; dores com IDEs e toolchain atual.,Documento de visão; mapa de jornadas; baseline de priorização.,Repositório de arquitetura/produto; template de decisão.,Não incluir feature sem aderência a persona; editor engine próprio fora do MVP.,Registro de decisões e versionamento de artefatos de produto.,Escopo excessivo; premissa errada sobre compatibilidade PyCharm.,Review com stakeholders; walkthrough de jornadas.
Discovery e Arquitetura,1.2,Produzir arquitetura de referência (C4 + domínio),Alta,1.1,"Definir arquitetura lógica/física, bounded contexts, integrações e ADRs principais.",Visão aprovada; decisão preliminar de stack tomada.,C4 L1-L3 publicados; bounded contexts definidos; fluxos principais descritos; ADRs registrados.,Criar baseline técnica para times trabalharem desacoplados.,"Contexto; containers; componentes; fluxos entre IDE, backend Python, gateway IA, runtime e registry.",Documento de visão; decisão de stack.,Diagramas C4; catálogo de ADRs; mapa de serviços.,Convenção de APIs; naming; padrões de eventos e telemetria.,Separar control plane de execution plane; evitar lock-in em LLM e registry.,"Mapear pontos obrigatórios de tracing, logs e auditoria.","Fronteiras ruins entre workspace manager, terminal proxy e policy engine.",Review técnico; threat modeling inicial; checklist de viabilidade.
Discovery e Arquitetura,1.3,Definir arquitetura de entrega e ambientes,Alta,1.2,"Desenhar dev/staging/prod, IaC, rollback, rede, storage, secrets e topologia operacional.",Arquitetura de referência pronta; cloud alvo definida.,Topologia por ambiente documentada; estratégia IaC definida; rollout/rollback definidos; requisitos de rede documentados.,Garantir operabilidade e deploy repetível desde o início.,Clusters; banco; cache; storage; ingress; secrets; CI/CD.,C4; requisitos não funcionais.,Arquitetura de ambientes; requisitos de infra; estratégia de deploy.,Módulos Terraform; pipelines; variáveis e secrets por ambiente.,Ambientes isolados; deploy imutável; segredos fora do código.,Health checks; logs; traces; métricas base.,Subdimensionamento de workspaces; custo elevado de observabilidade.,Smoke deploy; failover básico; rollback simulado.
"Identidade, Acesso e Tenant",2.1,Implementar autenticação SSO/OIDC,Alta,1.3,"Permitir login corporativo com sessão segura, callback e propagação de identidade.",IdP definido; claims mapeadas; fluxos de login/logout definidos.,Login/logout funcionais; sessão segura; claims persistidas conforme política; testes executados.,Centralizar autenticação com segurança corporativa.,OIDC; gerenciamento de sessão; refresh; logout.,Configuração do IdP; mapeamento de grupos/claims.,Sessão autenticada; identidade propagada ao backend.,Callback endpoint; middleware auth; user session object.,Sem credenciais locais no MVP; expiração conforme política; token não exposto além do necessário.,Taxa de falha de login; latência do callback; erro de claim mapping.,Claims inconsistentes; clock skew; logout incompleto.,Happy path; token expirado; logout; usuário sem grupo permitido.
"Identidade, Acesso e Tenant",2.2,"Modelar RBAC por tenant, squad e papel",Alta,2.1,Criar autorização por papel e escopo organizacional para APIs e ações da IDE.,Papéis definidos; recursos protegidos mapeados; tenant model definido.,Matriz RBAC implementada; autorização aplicada; testes cobrindo cenários críticos; documentação publicada.,"Restringir acesso a features, workspaces, extensões e modelos.",Roles; permissions; tenant scoping; squad scoping.,Modelo organizacional; recursos do sistema.,Política de acesso versionada; enforcement nas APIs.,Permission middleware; authorization service; permission model.,Deny by default; acesso cross-tenant proibido; privilégios administrativos auditados.,Acessos negados; elevação de privilégio; ações administrativas.,Policy drift; granularidade excessiva; herança ambígua.,Autorização positiva/negativa; regressão de policy; multi-tenant.
"Identidade, Acesso e Tenant",2.3,Provisionar modelo de tenant e bootstrap de usuário,Alta,2.2,"Automatizar criação de tenant, owner inicial, defaults de catálogo e políticas base.",RBAC definido; modelo de dados de tenant definido.,Tenant provisionável; usuários recebem defaults corretos; policies e catálogo inicial atribuídos; auditoria gerada.,Automatizar onboarding organizacional sem setup manual.,Criar tenant; associar grupos; definir policies default; provisionar catálogo base.,Nome do tenant; grupos; owner inicial; pacote base.,Tenant operacional e configurado.,API de provisionamento; eventos de bootstrap.,Isolamento lógico por tenant; defaults idempotentes.,Tempo de provisionamento; falhas por etapa; divergência de configuração.,Bootstrap parcial; inconsistência entre defaults e políticas.,Criação idempotente; rollback parcial; reprocessamento seguro.
Shell da IDE e UX Base,3.1,Criar shell da IDE customizado,Alta,1.2,"Entregar workbench base com layout principal, branding e slots de navegação/painéis.",Framework base definido; design tokens iniciais aprovados.,Shell funcional carregando workspace; layout principal pronto; branding aplicado; navegação estável.,Disponibilizar a estrutura principal da experiência da IDE.,Topbar; sidebar; região do editor; panels; pontos de extensão.,Design system base; framework de IDE escolhido.,Shell navegável; estrutura modular plugável.,Contratos de menu; slots de painel; registro de comandos.,Layout responsivo mínimo; dark mode first; preservar extensibilidade.,Tempo de carga inicial; falhas no bootstrap do workbench.,Customização excessiva quebrando upgrades; acoplamento ao core.,Smoke de carregamento; navegação; persistência de layout.
Shell da IDE e UX Base,3.2,Implementar sistema de temas e design system,Média,3.1,"Criar tokens, componentes base e guidelines visuais para uma UX moderna e consistente.",Shell base existente; branding aprovado.,Tokens definidos; componentes base aplicados; dark/light suportado; guideline documentado.,Dar consistência visual e permitir evolução sem retrabalho.,Cores; spacing; tipografia; ícones; estados; componentes base.,Branding; shell da IDE.,Biblioteca de UI; tokens versionados.,Package de design tokens; componente base para painel/modal/tabela/status.,Sem hardcode de cor em feature; acessibilidade mínima.,Cobertura visual e baseline de regressão.,Inconsistência entre core da IDE e componentes custom.,Regressão visual; contraste; acessibilidade.
Shell da IDE e UX Base,3.3,"Implementar navegação, command palette e settings",Média,3.1,"Criar UX operacional base com comandos, atalhos e settings por usuário/projeto/workspace.",Shell pronto; sistema de comandos definido.,Command palette funcional; settings persistidos; atalhos funcionando; documentação rápida disponível.,Garantir ergonomia próxima de IDEs modernas.,Palette; keybindings; settings; quick actions.,Shell; catálogo inicial de comandos.,Camada de comandos reutilizável; settings persistidos.,Registry de comandos; settings service; command handlers.,Comando precisa de id/label/categoria/permission check; precedence clara de settings.,Comandos mais usados; falhas por handler.,Colisão de atalhos; settings sem governança.,Persistência; autorização de comando; atalhos críticos.
Workspaces e Runtime,4.1,Modelar entidade Workspace e lifecycle,Alta,"1.2,2.3",Definir recurso central de ambiente de desenvolvimento com estados e transições válidas.,Arquitetura de runtime definida; modelo multi-tenant definido.,Workspace model implementado; estados de lifecycle definidos; API CRUD pronta; eventos emitidos.,"Ter unidade operacional para projeto, ambiente e execução.",Create; start; stop; suspend; destroy; metadata.,Tenant; owner; template; runtime profile.,Workspace versionado e auditável.,Workspace API; eventos de lifecycle.,Transições válidas de estado; ownership e isolamento por tenant.,Tempo por transição; falhas start/stop; workspaces órfãos.,Estados inconsistentes; corrida em start/stop concorrente.,State machine; idempotência; concorrência.
Workspaces e Runtime,4.2,Implementar provisionamento de workspace containerizado,Alta,"4.1,1.3","Subir ambientes isolados com imagem base controlada, quotas e health checks.",Lifecycle model pronto; estratégia de container definida; imagem base especificada.,Workspace sobe com imagem padrão; recursos configuráveis; volume montado; logs/status visíveis.,Garantir reprodutibilidade e isolamento operacional.,Container runtime; CPU/RAM; volume; bootstrap; health check.,Template; runtime profile; repo opcional.,Ambiente pronto para editor e terminal.,Provisioner service; runtime driver; status endpoint.,Imagens versionadas; bootstrap idempotente; quotas respeitadas.,Cold start; falhas de pull; consumo por workspace.,Imagens pesadas; custo por ociosidade; drift de runtime.,Start/stop; retry; quota exceeded; volume corrompido.
Workspaces e Runtime,4.3,Criar catálogo de templates de workspace,Média,4.2,"Permitir criação de ambientes a partir de stacks padrão para dados, Python e IaC.",Provisionamento básico pronto; stacks prioritárias definidas.,Templates publicados; seleção via UI/API funcionando; versionamento disponível; documentação pronta.,Padronizar ambientes e reduzir setup manual.,Templates Python; data engineering; dbt/Dataform; Terraform.,Requirements por stack.,Catálogo reutilizável de ambientes.,Template registry; template manifest.,Template imutável por versão; breaking change exige nova versão.,Template mais usado; falhas por template.,Templates inchados; drift entre template e documentação.,Bootstrap real; validação de ferramentas instaladas.
Terminal Integrado e Policy de Execução,5.1,Implementar terminal integrado,Alta,"4.2,3.1",Disponibilizar terminal interativo dentro da IDE conectado ao workspace e com múltiplas sessões.,Workspace operacional; protocolo de terminal definido.,Terminal interativo funcionando; múltiplas sessões; reconexão básica; streaming estável.,Habilitar operação real do ambiente sem sair da IDE.,Abrir sessão; enviar comando; receber stream; resize; reconectar.,Workspace ativo; identidade autenticada.,Sessão de terminal utilizável.,WebSocket/stream endpoint; terminal session API.,Sessão vinculada a workspace e usuário; autorização antes de anexar sessão.,Latência de stream; falhas de sessão; comandos iniciados/finalizados.,Vazamento de sessão; buffering/TTY ruim.,Execução interativa; reconexão; múltiplas abas; encerramento abrupto.
Terminal Integrado e Policy de Execução,5.2,Criar policy engine para comandos e execução,Alta,"5.1,2.2",Controlar o que pode ser executado no terminal com allow/block/warn por tenant e papel.,Terminal funcional; modelo de política definido.,Regras allow/block implementadas; comandos auditados; negação com feedback; policies por tenant/role suportadas.,Reduzir risco operacional e de segurança na execução via terminal.,Matching de comandos; regras por tenant/role/workspace; deny/allow/warn.,Command stream; policy config.,Decisão de execução; evento de auditoria.,Policy API; matcher; audit emitter.,Deny prevalece sobre allow; comandos com segredo são mascarados; policy versionada.,Comandos bloqueados; falsos positivos; regras mais acionadas.,Regex ingênua; bypass por shell composition.,Comandos simples; pipes; subshells; variáveis; comandos compostos.
Catálogo e Governança de Extensões,6.1,Implementar catálogo corporativo de extensões,Alta,"3.1,2.2","Criar catálogo consultável com metadados, status e curadoria de extensões homologadas.",Estratégia de registry definida; lista inicial aprovada.,Catálogo consultável por API/UI; extensões categorizadas; metadados disponíveis; status homologado/restrito/deprecated.,Controlar descoberta e uso de extensões.,Listagem; busca; metadados; status de aprovação.,Fontes externas/internas; curadoria inicial.,Catálogo disponível para instalação.,Catalog API; extension metadata schema.,Somente itens aprovados instaláveis por default; publisher e versão rastreáveis.,Extensões mais acessadas; erros de catálogo; deprecated em uso.,Metadados incompletos; dependências ocultas.,Busca; filtros; lifecycle de status.
Catálogo e Governança de Extensões,6.2,"Implementar fluxo de instalação, atualização e remoção",Alta,"6.1,4.2",Gerenciar lifecycle de extensões nos workspaces e perfis com rollback e auditoria.,Catálogo pronto; mecanismo de instalação suportado pela base IDE.,Instalar/atualizar/remover funcionando; versionamento controlado; auditoria completa; rollback básico em falha.,Permitir uso de extensões com governança operacional.,Install; update; uninstall; status; rollback.,Extensão aprovada; alvo de instalação; permissão do usuário.,Extensão presente/ausente com estado consistente.,Extension management API; event stream de lifecycle.,Instalação bloqueada se policy negar; major update pode exigir aprovação; rollback em instalação parcial.,Taxa de sucesso; tempo de instalação; falhas por extensão.,Workspace corrompido; incompatibilidade entre extensões.,Install happy path; reinstall; rollback; detecção de conflito.
Catálogo e Governança de Extensões,6.3,Implementar workflow de aprovação e curadoria,Média,"6.1,2.2","Permitir solicitação, revisão e publicação controlada de novas extensões.",Catálogo básico pronto; papéis de aprovador definidos.,Solicitação possível; avaliação registrada; decisão auditável; extensão aprovada entra no catálogo.,Evitar instalação ad-hoc sem controle.,Request; review; approve/reject; publish internal status.,Solicitação do usuário; metadados da extensão.,Decisão registrada; status alterado no catálogo.,Approval API; review state model.,Justificativa obrigatória para rejeição; evidência mínima de licença/segurança.,Tempo de aprovação; backlog de requests; extensões mais solicitadas.,Processo burocrático; backlog de aprovação virar gargalo.,Fluxo end-to-end; autorização de aprovador; reprocessamento.
AI Gateway e Orquestração,7.1,Construir AI Gateway multi-LLM,Alta,"2.2,12.1",Criar backend unificado para múltiplos providers/modelos com contrato padronizado e streaming.,Providers prioritários definidos; política de uso de modelos definida.,Gateway suporta múltiplos providers; contrato unificado; roteamento por política; streaming suportado.,Evitar lock-in e centralizar governança de IA.,Model registry; routing; auth com providers; retry; streaming.,Prompt; contexto; policy; provider config.,Resposta do modelo; usage metrics; audit event.,"Endpoints /chat, /completion, /embeddings, /models.",Modelo permitido depende de tenant/role/use case; logs com redaction; timeout e fallback por operação.,Latência por modelo; custo por tenant; erro por provider; tokens in/out.,Variação de contrato entre providers; custo descontrolado.,Mock provider; streaming; fallback; throttling.
